3148293384,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6, Pin7
3148293447,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6,
3559113072,Pin0, Pin3, Pin4, Pin5, Pin6,,,
4319468072,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6, Pin7
4319468134,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6,
4772954697,Pin0, Pin3, Pin4, Pin5, Pin6,,,
5512128947,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6,
6066808190,Pin0, Pin3, Pin4, Pin5, Pin6,,,
6810685260,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6,
6885184135,Pin0, Pin3, Pin4, Pin5, Pin6,,,
7838869447,Pin0, Pin1, Pin2, Pin3, Pin4, Pin5, Pin6,
8147053697,Pin0, Pin3, Pin4, Pin5, Pin6,,,
