2280985772,2280985607,Pin0, Pin3, Pin4, Pin5, Pin6
2301671397,2301671232,Pin0, Pin3, Pin4, Pin5, Pin6
3831594522,3831594357,Pin0, Pin3, Pin4, Pin5, Pin6
3849981772,3849981607,Pin0, Pin3, Pin4, Pin5, Pin6
4041560147,4041559982,Pin0, Pin3, Pin4, Pin5, Pin6
4042100897,4042100732,Pin0, Pin3, Pin4, Pin5, Pin6
4056161772,4056161607,Pin0, Pin3, Pin4, Pin5, Pin6
4081173772,4081173607,Pin0, Pin3, Pin4, Pin5, Pin6
5070567397,5070567232,Pin0, Pin3, Pin4, Pin5, Pin6
5086385772,5086385607,Pin0, Pin3, Pin4, Pin5, Pin6
5112749772,5112749607,Pin0, Pin3, Pin4, Pin5, Pin6
5127892147,5127891982,Pin0, Pin3, Pin4, Pin5, Pin6
5193464147,5193463982,Pin0, Pin3, Pin4, Pin5, Pin6
5206172897,5206172732,Pin0, Pin3, Pin4, Pin5, Pin6
5226047397,5226047232,Pin0, Pin3, Pin4, Pin5, Pin6
5241189772,5241189607,Pin0, Pin3, Pin4, Pin5, Pin6
5273772897,5273772732,Pin0, Pin3, Pin4, Pin5, Pin6
5288509772,5288509607,Pin0, Pin3, Pin4, Pin5, Pin6
5306761772,5306761607,Pin0, Pin3, Pin4, Pin5, Pin6
5324472897,5324472732,Pin0, Pin3, Pin4, Pin5, Pin6
5366628522,5366628357,Pin0, Pin3, Pin4, Pin5, Pin6
5385826897,5385826732,Pin0, Pin3, Pin4, Pin5, Pin6
5415435667,5415435482,Pin0, Pin3, Pin4, Pin5, Pin6
5432470897,5432470732,Pin0, Pin3, Pin4, Pin5, Pin6
5460998167,5460997982,Pin0, Pin3, Pin4, Pin5, Pin6
5502774897,5502774732,Pin0, Pin3, Pin4, Pin5, Pin6
5508344897,5508344732,Pin0, Pin3, Pin4, Pin5, Pin6
5533762522,5533762357,Pin0, Pin3, Pin4, Pin5, Pin6
5574863397,5574863232,Pin0, Pin3, Pin4, Pin5, Pin6
5606094522,5606094357,Pin0, Pin3, Pin4, Pin5, Pin6
5625563397,5625563232,Pin0, Pin3, Pin4, Pin5, Pin6
5651251397,5651251232,Pin0, Pin3, Pin4, Pin5, Pin6
5665447397,5665447232,Pin0, Pin3, Pin4, Pin5, Pin6
5701004897,5701004732,Pin0, Pin3, Pin4, Pin5, Pin6
5713848897,5713848732,Pin0, Pin3, Pin4, Pin5, Pin6
5742781772,5742781607,Pin0, Pin3, Pin4, Pin5, Pin6
5756274897,5756274732,Pin0, Pin3, Pin4, Pin5, Pin6
5793481772,5793481607,Pin0, Pin3, Pin4, Pin5, Pin6
5818602147,5818601982,Pin0, Pin3, Pin4, Pin5, Pin6
5841586147,5841585982,Pin0, Pin3, Pin4, Pin5, Pin6
5875683397,5875683232,Pin0, Pin3, Pin4, Pin5, Pin6
5899181272,5899181107,Pin0, Pin3, Pin4, Pin5, Pin6
6263301775,6263301607,Pin0, Pin3, Pin4, Pin5, Pin6
6284663397,6284663232,Pin0, Pin3, Pin4, Pin5, Pin6
6515855397,6515855232,Pin0, Pin3, Pin4, Pin5, Pin6
6529645772,6529645607,Pin0, Pin3, Pin4, Pin5, Pin6
7493594897,7493594732,Pin0, Pin3, Pin4, Pin5, Pin6
7506303647,7506303482,Pin0, Pin3, Pin4, Pin5, Pin6
